ulasan,rating,tanggal
"setiap nomor beda tarif paket internet... yang sering beli paket mahal2 semua di banding nomer yang jarang isi paket internet... daerah sama lokasi sama cuma beda nomer beda harga, masa kartu lain 100rb nomer saya kena 120rb... telkomsel beban... lagi cari recomend kartu lain lah ...",1,2025-07-01 17:43:30
"info kuota gak stabil, berubah2, info awal sblm di isi, sama pas sudah di isi beda2.",2,2025-07-01 17:42:22
aplikasi maintenance mulu kebanyakan fitur ga guna,1,2025-07-01 17:42:00
wow,5,2025-07-01 17:41:23
"makin busuk aja telkomsel ini, dari zaman sms an sampaj sekarang pake telkomsel tapi makin buruk aja pelayanannya",1,2025-07-01 17:41:21
"developer pilih kasih!, untuk IOS gada bug sama sekali, sedangkan android banyak bug!, harga kuota juga mahal bgt tapi sinyal kayak siput!.",1,2025-07-01 17:38:51
aplikasi tolol,1,2025-07-01 17:38:31
"Bagaimana ini??? Kenapa belum juga masuk rewardnya?? selamat Sore,,saya mau menanyakan terkait Laporan Keluhan saya pada tgl 30 Des 2023,,bagaimana responnya,,,kenapa belum juga masuk Paket Data Rewardnya???tolong jangan mengecewakan,, Terima kasih,, tambaahhhhhhh Lemooooottttttttt,,,parahhhhhhh",1,2025-07-01 17:38:07
"poin sering maintance,udah di tier gold 60068 poin ga bisa dipake,mau tukar paket data sengaja loadingnya lama,padahal jaringan bagus,udah 3 hari gw nunggu poin masih maintance kocak!",1,2025-07-01 17:36:33
"tolong untuk kuota swadaya aman agar di perbaiki,,,berdaganglah yg jujur sy beli kuota swadaya aman 20 GB harga 55000 tetapi yang masuk malah 15 GB ,hal ini sudah berlangsung beberapa bulan terakhir jadi mohon untuk di perbaiki",1,2025-07-01 17:36:19
"aplikasi terbapuk yang pernah ada, sinyal bagus aplikasi ga menunjang jadi buat apa coba bikin aplikasi yang gaje",1,2025-07-01 17:35:49
eror mulu,1,2025-07-01 17:35:28
jaringannya suka hilang😭😭 gmn sih,2,2025-07-01 17:35:13
aplikasi gajelas kuota mahal sering lag ga guna,1,2025-07-01 17:34:39
jaringan suka eror lemot,1,2025-07-01 17:34:23
lemot ga rekomen sihhhh nyesel banget download ini sumpah,3,2025-07-01 17:32:09
aplikasi lemot minta ampun,1,2025-07-01 17:32:03
"udh 2x gua setiap mau masuk ke aplikasi, pas di beranda loding lama padahal sinyal lancar HP aman tpi lag nya minta ampun, tolong lah perbaiki aplikasinya ga usah ngelag mulu udh bagus punya aplikasi tpi aplikasi malah ngelag ga bisa di buka + loading lama, kesel min sumpah kuota gua tinggal dikit tpi malah di persusah sama aplikasi",2,2025-07-01 17:31:50
cek kuota susah banget loding....tok cuk,1,2025-07-01 17:29:14
"ApK gak jelas, makin hari makin berat mau claim bonus transaksi aja susahnya minta ampun",1,2025-07-01 17:28:36
aplikasi cacat,1,2025-07-01 17:28:10
apa si sinyal nya jelek trs bkin emosi sinyal ajingg lol,1,2025-07-01 17:28:00
harga kuota mahal kualitas buruk,1,2025-07-01 17:21:51
"woi pp, kalau ad perbaikan jangan di jam kerja ngttd",1,2025-07-01 17:21:38
"buruk,buka aplikasi aja susah kli error lah ini lah aplikasi ga becus",1,2025-07-01 17:20:41
tolong diperbaiki lagi dong aplikasinya leled bgt kesel dah setiap buka ni telkomsel buat cek kuota/beli kuota pasti loading mulu,1,2025-07-01 17:19:55
sinyal ngelag kocak2 mana claim kuota ngebug poke2,1,2025-07-01 17:19:50
"oot,dah hapus cache masih stuck padahal sinyal kuat tolong diperbaiki lah mana harga nya malah semua,hadeh",1,2025-07-01 17:19:45
kuota 14 hari 5gb tiba2 hilang begitu saja,1,2025-07-01 17:19:19
Sungguh membangongkan🥴. Promosi klaim tukar kuota extra gratis tapi list-nya untuk ditukarkan tidak muncul hanya judul saja extra kuota 50. Kirain jaringannya doang yang gak stabil. Malah aplikasinya yang lebih memprihatinkan,1,2025-07-01 17:18:36
"agak kecewa skrng sma telkomsel,paket mahal jaringan buruk... skrng pake telkomsel bwt sms nelpon aj.. klu untuk internetan udh pindah kesebelah",3,2025-07-01 17:17:55
Ga jelas,1,2025-07-01 17:16:58
good bgt jaringannya,5,2025-07-01 17:16:47
"aplikasi lemott, jaringan Telkomsel sekarang parahhh gak pernah stabil bikin ancur kerjaan yg lewat online",1,2025-07-01 17:16:25
aplikasi ini gak nyambung gak bisa tukar poin aplikasi gak jelasss toddd,1,2025-07-01 17:15:05
mohon jaringan ya diperbaiki lagi ini kok hilang jaringan ya sudah dipercaya semua orang TPI mlh begini cara kalian,1,2025-07-01 17:14:47
sinyal Telkom suka hilang hilangan. tolong di perbaiki Telkom. paket udah mahal tapi sinyal jelek banget,1,2025-07-01 17:14:29
"loadingnya lama, eror mulu, sering white screen. minusnya banyak lah",1,2025-07-01 17:14:02
"jaringan di perbaiki!!! bujang kau buat apk sama kayak buat webb. lomotttt nya mintak ampunnn, kalok daerah gw aja ada jaringa lain 100% bakal gw ganti ini kartu telkomsell. udhh jaringan nya lomooottt harga kuota nya mahalll apk ini juga rusakkk. beda kelass sama AXIS. gw rekomendasi AXIS setiap hari ada bonus paket sosmed 200mb jaringan baguss beda sama nihh jaringan Telkomsel. udh lemott kadang hilang tiba-tiba. udhh apk nya gkkk jelass loading nya lamaaa. perbaiki dulu apk sama jaringan boss",1,2025-07-01 17:13:07
"apa ini sinyal telkomsel jelek sekali, ilang ilang timbul, harga paling mahal tapi gk seiring dengan kualitasnya.",1,2025-07-01 17:12:48
"perbaiki duluu fitur"" nyaaa yaaa",1,2025-07-01 17:12:45
"sebetulnya aplikasi ini bagus tapi sering stak loading, tolong di perbaiki dong",1,2025-07-01 17:12:17
apk nya stuck Mulu,1,2025-07-01 17:11:19
kecewa dengan jaringan,1,2025-07-01 17:10:00
baik,5,2025-07-01 17:08:39
Customer service nya ga bisa kerja apa? respon nya lama kaga jelas,1,2025-07-01 17:08:29
mantap,5,2025-07-01 17:05:38
aplikasi suka ngelag. itu aja makasih🗿,2,2025-07-01 17:03:01
"bukanya makin baik tapi malah makin buruk, sinyal jelek,kuota mahal, bner2 kecewa skrg pakai telkompleng",1,2025-07-01 17:01:55
"tolong kenapa jaringan saya jadi sangat tidak stabil, pekanbaru riau Indonesia.",5,2025-07-01 17:01:26
ni cemana Telkomsel sudah kuata mahal jaringan internet susah banget padahal tempat tinggal gua di kota jadi permasalahan bagaimana jika lihat YouTube atau Instagram atau tiktok yang makan kuota banyak malah lancar gimana sihhh apa sudah waktu ny pindah ke jaringan internet lain ??,1,2025-07-01 16:59:59
"jelek banget telkomsel gila pulsa suka hilang sendiri banyak tipu2 berkedok promo, lebih jujur indosat yg jujur",1,2025-07-01 16:56:54
aplikasi ya jelek kata ya my tekomsel meliki paket murah murah ternyata engak semua mahal,2,2025-07-01 16:56:03
"sebelum nya sinyal nya aman aman aja, lancar. tapi kok sekarang sering banget jelek ya? mau itu siang, malem padahal kuota masih banyak. tolong dong diperbaiki sinyalnya, jadi percuma saya beli kuota mahal kalau sinyalnya jelek.",1,2025-07-01 16:52:08
parah sekarang jaringan Telkomsel ini paket nya mahal2 tapi jaringan nya jelek,1,2025-07-01 16:51:16
mantap,5,2025-07-01 16:48:37
loadingnya parah,2,2025-07-01 16:45:05
tolong tutin maintenece aplikasi selalu stuck loading. kita beli kouta paketan mahal tapi kualitas pelayanan buruk. apa perlu di kasih rating jelek baru ada tindakan.,1,2025-07-01 16:44:52
"apk jelek sinyal juga jelek,harga koutanya sering naik ajg lah",1,2025-07-01 16:44:05
"Aplikasi kocak!!!! Masuk ke aplikasi bikinannya sendiri pake provider dia sendiri malah gak bisa, harus pake wifi,, kocak wkwkw gak jelas",1,2025-07-01 16:43:38
kok sekarang kalo buka aplikasinya lelet amat,1,2025-07-01 16:42:10
"makin hari aplikasi nya makin jelek aja loading lama banget muter muter padahal jaringan bagus , sudah restart melulu masih aja jelek",1,2025-07-01 16:41:18
"Payah telkomsel.....beli paket internet super seru spesial 25rb 16gb,tp sinyalnya payah.....merampok dgn cara jual paketan internet .....",5,2025-07-01 16:41:13
👍,5,2025-07-01 16:39:03
"ini aplikasi apa sih busuk amat woi mau beli kuota aja harus sabar... server nya kah udah jadul perbaiki bug nya atau apalah yang membuat aplikasi nya error, kalo gak karna telkomsel yang mendominasi gak bakal gue pake ni kartu hahahaha jelek amat bdo... dari dulu lagi aplikasi ni busuk pliss lah ya orang pake aplikasi nya buat lebih mudah beli kuota. bukannya di persulit aplikasi koloottttttttttt",2,2025-07-01 16:38:10
"setiap buka apk nya lag terus, parahh telkom",1,2025-07-01 16:37:03
"asli dah aplikasi kartu internet terjelek sih, sinyal bagus malah ngelag banget dan lama dalam memuatnya. padahal dibuat download atau browsing cepet aja nih sinyal. terus nih ya mau claim kuota aja susahnya minta ampun heraaaan. mending pindah ke sebelah sih daripada stay di telkomsel.",1,2025-07-01 16:34:35
terbaik,5,2025-07-01 16:34:24
"pakai kartu simpati sudah 20 tahun tapi makin kesini kuota makin mahal, jaringan lelet, segala dibagi bagi lagi, apakah ini yang katanya punya BUMN",1,2025-07-01 16:31:29
"paket kuota mahal, apk berat, loading lambat & sering error",1,2025-07-01 16:30:57
ngak jelas paket mahal² jaringan kek anakan anak udah mah apakmya ngeleg²,1,2025-07-01 16:30:45
web lelet,1,2025-07-01 16:30:02
memuaskan,5,2025-07-01 16:29:52
SEKELAS TELKOMSEL BUAT APLIKASI AJA GAK BECUS... PUNYA APLIKASI TAPI GAK GUNA...,1,2025-07-01 16:29:23
lemot parahhhhh!!!!!,1,2025-07-01 16:29:22
tolong perbaiki aplikasinya.. knp setiap login selalu loading lama.. padahal jaringannya bagus.. sampai sudah bilang seperti ini ulang ulang malah tidak jadi bagaimana.. perbaiki biar kami juga pakai dengan puas..,1,2025-07-01 16:28:59
kasih promo yang murah dong,5,2025-07-01 16:25:57
"perbaikin lah aplikasinya, jelek bgt",1,2025-07-01 16:23:44
selalu bug setiap dibuka,1,2025-07-01 16:22:53
"provider kikir, makin lama makin mahal",1,2025-07-01 16:22:51
"CHAT BOT -Bahkan kirim Email. Serasa Gak Berguna , kek orang. bego dibikin nya .. cihhh",1,2025-07-01 16:20:31
padahal apk penting tapi ga responsif haduh trus yg d update apa min,1,2025-07-01 16:20:16
"paket makin mahal,, sinyal makin jelek",1,2025-07-01 16:18:06
bagus,5,2025-07-01 16:17:29
makin kesini ko makin jelek kualitas sinyal trus aplikasi nya juga lemot bngt ga kaya dulu lagi PAKET MAHAL TAPI SINYAL MURAH...,1,2025-07-01 16:14:54
trma ksh,5,2025-07-01 16:14:05
aplikasi yg perlu perbaikan. setiap buka pasti lag. tp klo pakai jaringan dr operator lain psti bisa,1,2025-07-01 16:12:54
apk nya GK bagus sering ngeleg,1,2025-07-01 16:12:13
"sinyal jelek, lemot, tidak memuaskan sama sekali",1,2025-07-01 16:10:31
aplikasi dongo,1,2025-07-01 16:06:02
"Aplikasi apa ini nglebihin genshin impact beratnya, ya apa gak mau reset halamanya mau beli paketan gak bisa padahal udah hapus cache 5x gak bisa tolonglah paketan Lo udah aplikasi juga dipersulit gini kalian niat gak kalo gini terus gua doain saham Lo anjlok aminn",1,2025-07-01 16:05:00
"Program promo bagus, tapi app bug terus, payah..!!",5,2025-07-01 16:02:17
tepat dan cermat,5,2025-07-01 16:01:16
ribet lama loading nya gila lama bener skrg telkomsel,1,2025-07-01 16:00:46
🙂,5,2025-07-01 16:00:31
keren,5,2025-07-01 16:00:07
sangat bagus,5,2025-07-01 15:59:45
aplikasi sring erorrr,1,2025-07-01 15:59:15
sering error,2,2025-07-01 15:59:08
"KECEWA GUABL SEKARANG, TELKOMSEL GANGGUAN MULU HERAN GUA, KEBANYAKAN TINGKAH",1,2025-07-01 15:58:40
bagus,5,2025-07-01 15:58:06
aplikasi eror kita buka aja GK bisa masuk padahal jaringan saya bagus masuk ke apk eror beli kuota buka beberapa menit pulsa jadi hangus.tolong lah di perbaiki jangan gini trik klian. bikin rugi aja. paling lemot error bukan main.kadang isi pulsa hangus sendiri memang gak baik buruk buruk rela hapus data uninstall tetap aja gitu error.ntah kek mana mau bilang apa lagi.😡,1,2025-07-01 15:56:11
"woyyy Telkomsel percuma suruh ngerestart gak ngaruh sama sekali tetep aja ngelang gak pagi,malam,sore sama aja ngelag parah buat apa apa gak bisa tolong diperbaiki gak usah nyuruh ngerestart gak ngaruh sama sekali",2,2025-07-01 15:52:59
"sinyal parah. paket mahat tp ngak sepadan dengan harga, nya.. parah",1,2025-07-01 15:49:37
kuota aja mahal jaringan busuk,1,2025-07-01 15:48:36
sering ngeleg padahal jaringan bagus,1,2025-07-01 15:48:00
bener bener makin sini paket makin mahall padhal setiap bulan langganan harga 60-75 sekarang udah di delete paket langganan nya ganti paket mahal gak ngotak,2,2025-07-01 15:47:37
lelet apk lu,1,2025-07-01 15:43:10
menyambung silaturahmi tanpa batad,5,2025-07-01 15:41:21
sinyal bagus tapi susah buka buat extra kuota kaya yg sengaja di bikin lama loading nya niat ngasih gk si,1,2025-07-01 15:41:13
buruk,1,2025-07-01 15:35:25
bagus dan sangat puas,5,2025-07-01 15:34:00
Paket murah perlahan menghilang,1,2025-07-01 15:29:52
tolong perbaiki bugnya kebanyakan,3,2025-07-01 15:29:33
"saya di kota, tapi jaringan nya jelek nge lag"", ini mohon diperbaiki ya, katanya telkomsel itu kualitas nya baik tapi kok kaya gini sih... ini aja buka play store lag bangett",2,2025-07-01 15:29:18
gelek bagat aplikasinya,1,2025-07-01 15:29:17
apik tenan gampang digunakan,5,2025-07-01 15:28:09
aplikasi pake sinyal telkomsel lama masuk loading .. pake axis langsung masuk .. aplikasi sendiri kok lama ya !!,1,2025-07-01 15:27:53
"Ganti provider ini kirain nyelesaian masalah, malah nambah masalah, bikin emosi klo internet lemot nya kambuh, pdhal di kota bukan di pelosok",1,2025-07-01 15:27:05
jelek banget di redmi 5a versinya tidak kompatibel androit 7.1.2 gk bisa buka my Telkomsel mending bubarin ni apk gk bisa dipakai semua perangkat yg bisa terpilih saja,1,2025-07-01 15:25:19
"sekarang jelek... aplikasinya minta update mulu tapi isinya gak update...mau lihat kuota internet tapi gak valid, masa aktif udah mau habis tapi kuota tulisan masih utuh, percuma punya aplikasi ini, kalo cek kuota masih pake *8..#",1,2025-07-01 15:25:09
"Sudah 5 kali instal, dan akhirnya uninstal lagi, tetep gabisa dibuka ga guna nih aplikasi, mendingan kayak dulu aja ringan dipakai.😇🤦",1,2025-07-01 15:24:48
"aplikasi terlalu lelet, setiap buka apk selalu stuck di beranda, loading lama, jaringan lelet, harga kouta mahal, paket tertulis unlimited, tapi ternyata hanya 15 giga.",2,2025-07-01 15:24:44
sangat membantu,5,2025-07-01 15:21:56
mengecewakan,2,2025-07-01 15:21:31
"apk gak guna, kebanyakan korupsi keknya",1,2025-07-01 15:17:37
LOADING NOH BENERIN DULU!!!,1,2025-07-01 15:17:04
"aplikasi ngebug ,,padahal sinyal udah penuh ,4G lagi ,,tapi masih muter muter aplikasi nya,,update Mulu tapi bug gak ilang ilang,,, sekarang malah tambah parah bug nya,,,apk apaan ini",1,2025-07-01 15:15:32
"eror Mulu,heran bet",1,2025-07-01 15:15:31
"aneh banget aku ga ngapa-ngapain tapi paket ku terkuras banyak ini nga satu atau dua kali sering , kalau bisa tolong diperbaiki. ga ada ubdate apk , ga ada dwonload game tapi kenapa boros banget",1,2025-07-01 15:13:43
semoga signal tidak lemot lagi,5,2025-07-01 15:13:34
terlalu banyak bug di aplikasi tolong di perhatikan,2,2025-07-01 15:12:34
parahh jlk,1,2025-07-01 15:11:43
harga naik kualitas nurun,1,2025-07-01 15:11:28
"aplikasi gak stabil loading doang kocak, udah fitur jaga pulsa nya gak guna ini malah merambah ke aplikasinya. jadi susah kalau mau ngecek kuota, apalagi beli kuota cuma loading doang. udah coba Clear cache sampai instal ulang tetep aja gak bisa",1,2025-07-01 15:11:13
mntap,5,2025-07-01 15:08:13
jelek sekali apk nya lemot,1,2025-07-01 15:07:02
"aplikasi susah di buka , aplikasi sering gangguan ga jelas, padahal sinyal stabil tapi bufring nya bisa sejaman",1,2025-07-01 15:06:11
aplikasi Telkomsel ttaaaaaaaiiiiiiii gakk bisa tempat pinjam kuota,1,2025-07-01 15:04:10
"kartu kalau sudah pindah hp, apk nya jd tidak bisa ngecek kuota. sama loading terus menerus",4,2025-07-01 15:03:37
"sumpah ni jaringan lu lemot banget telkom, buka aplikasi lu sendiri aja ga bisa, parah bener",1,2025-07-01 15:00:50
"Sinyal sulit lucu simpati mahal paketan ny tapi ga ngejamin kualitas ny. paketan mahal doang tapi jaringan ilang""an",1,2025-07-01 14:59:34
"provider mahal, sinyal susah",1,2025-07-01 14:59:28
mantap,5,2025-07-01 14:58:55
"you have really really bad network, you need to fix it or every one gonna use another card zzz",2,2025-07-01 14:58:50
"Muak banget jujur, aku sendiri ga terlalu ngepermasalahin aplikasinya yang suka ngestuck atau apalah. Tapi ini jaringannya kenapa jadi suka lemot gitu si, cape banget, mana harganya mahal, uda di tahap muak yang bener bener muak. Respon developer ke semua orang yang ngerating juga template semua ya, ini bener semua keluhan dari para user diperhatiin??",1,2025-07-01 14:58:28
pakai jaringan Telkomsel. login MyTelkomsel. auto lag parah_-,1,2025-07-01 14:56:36
"sangat buruk, mahal iya, sinyal nya menderita padahal di jakarta, 5g??? masih mending 4g agak stabil",1,2025-07-01 14:54:13
pendapat saya tentang aplikasi ini yang besarnya lebih dari 400mb sangat kecewa jika saya tidak membuka aplikasi ini selama beberapa hari aplikasi ini akan lemot lama sekali. SEHARUSNYA JIKA MEMANG HARUS LOGIN KEMBALI TIDAK USAH LEMOT LEMOT TINGGAL DISURUH NGISI NOMER KEMBALI JNGAN DI RIBET RIBET KAN. 400mb lebih kok ribet,2,2025-07-01 14:53:57
awalnya bagus ko makin ngeleh sihhh bintang satu susah sinyal,1,2025-07-01 14:53:23
biar bintang yang berbicara,1,2025-07-01 14:52:44
aplikasi kadang error GK jelas sinyal tiba-tiba jelek pokoknya makin aneh Telkomsel sekarang nyesel deh,1,2025-07-01 14:51:18
harga elit kualitas internet sulit! perbaiki dong telkom lawak bener👎,1,2025-07-01 14:50:00
apk rusak banyak bug susah ambil bonus paketan mohon di perbaiki kalo gak mending gak usah ada apk nya nyebelin mau ambil bonus paketan aja lag jaringan kadang ilang padahal buat buka YouTube aja bisa tolong di perbaiki lagi,1,2025-07-01 14:49:51
"App amatir, mempersulit pengguna, tidak ada kesetaraan bagi semua HP mahal dan murah, login lamban !? Mudah error...",4,2025-07-01 14:49:23
keren,5,2025-07-01 14:47:11
perbaiki lagi soal loadingnya. terlalu lama,1,2025-07-01 14:46:28
mau ngisi kuota aja susah muter terus padahal ada jaringan,1,2025-07-01 14:46:04
"aplikasi paling lelet, aplikasi gaming aja gak se lelet ini",1,2025-07-01 14:45:49
sangat membantu,4,2025-07-01 14:44:55
jaringan lambat...poin ngk ad guna nya,1,2025-07-01 14:43:34
jaringannya sangat lemot,1,2025-07-01 14:42:29
mantap kali,5,2025-07-01 14:41:28
"sinyal internet Telkomsel sangat burik,apakah mau bangkrut ni telkomsel",1,2025-07-01 14:40:54
telkomsel sekarang jaringan nya susah banget yah,1,2025-07-01 14:39:49
"kenapa combo sakti max di nonaktitkan, jadi malas mau beli paket, mending pake wifi rumah aja huuuuu 😕",3,2025-07-01 14:38:50
harga paket selangit jaringan lemot tamba lagi kalau ada bonus susah kali mau di klaim,1,2025-07-01 14:37:54
Ga bisa login lagi setelah di hapus apk'a,1,2025-07-01 14:37:26
banyak bug mahal gak bisa dipencet burik,1,2025-07-01 14:36:35
Kenapa apk My Telkomsel dan jaringannya sekarang terasa seperti Hidup Segan Mati Tak Mau? Kalau gak guna mending dihapus saja apk nya. Masak kalah sama jaringan sebelah?!,1,2025-07-01 14:34:32
pulsa gua isi 1500 ribut belum 1 jam kok tingal 400 ratus pedahal belum gua apa apain 😡,1,2025-07-01 14:34:18
sangat membantu dan mempermudah kita,5,2025-07-01 14:34:10
"apk sampah, ga bisa di buka",1,2025-07-01 14:33:37
sedih bgt kok ga bs akses halo+ benefit yg disney..gak tau knp ui uxnya gonta ganti mulu. mulai dr dulu yg awalnya gampang lama2 dibatesin kuotanya suka tiba2 abis. skrg halamannya bahkan gak ada. pls dipermudah dong aksesnya pdhl itu benefit pengguna halo loh :(((,3,2025-07-01 14:32:59
"tolong jaringan di RIAU ,PEKANBARU , KEC TUAH MADANI KEL AIR PUTIH JALAN UKA , TOLONG DI PERBAIKI LAGI JARINGAN NYA , MASAK ASIK NGELEK AJA , PADAHAL PAKET TELKOMSEL , BELI PAKET MAHAL INTERNETAN SULIT",2,2025-07-01 14:31:20
bgus,5,2025-07-01 14:31:17
"LOADINGG PARAHHH,, ASLI KESEL MAU ISI KUOTA SUSAH NYA MINTA AMPUNN.. MAU CEK KUOTA GK BISA D LIHAT KARNA LOADING NYAA PARAHH BANGETTT.. 🤬🤬🤬🤬🤬",1,2025-07-01 14:31:01
bisa perbaiki sistem jaringan nggak jangan harga nya aja yang di naikin tapi kualitas sinyal semakin buruk,1,2025-07-01 14:30:47
"Sinyal Butut, ancur parah, jadi males pake telkomsel sekarang sekarang mah. jelek banget sumpah",1,2025-07-01 14:30:43
plis paketan internetnya makin mahal woi mana 28 hari dan 30 hari harga beda jauh 🥲,2,2025-07-01 14:30:07
"jaringan tiba-tiba putus, kalo kek gini, percuma beli kuota di Telkom, nggak becus mengurus jaringan",1,2025-07-01 14:28:55
"aplikasi error tolong min di perbaiki sya isi pulsa Rp 100.000 nah saya mau beli , dan transaksinya berhasil pas s cek paket internet saya kok gak ada padahal saya sudah membeli paket internet tolong perbaiki dan untuk kali ini saya kasih 1 bintang aja",1,2025-07-01 14:27:41
"Lelet super lelet aplikasi ini , loading lama kali kaga jelas",1,2025-07-01 14:27:28
"gambar asli kalau dana anggaran disalahgunakan. 1001 maintenance, bug, error aplikasi, update juga tidak memberi perbaikan masalah apapun.",1,2025-07-01 14:26:03
saya tidak tau bagaimana rasanya ingin kuota gratis tapi aplikasi nya ngeleg. karena saya pake byu saya kasi reting bintang 5,5,2025-07-01 14:25:25
aplikasi rusak suka eror,1,2025-07-01 14:24:44
"update 8.6.2 sudah tidak fc, tapi tetap lemot",3,2025-07-01 14:24:29
"dikit"" error dikit"" error, udh gt lemott",1,2025-07-01 14:24:18
tekomsel ini udah bagus tapi halaman tukar internet pake poin ini kenapa nge stuck mulu tulisan nya eror page,3,2025-07-01 14:23:05
"tolong pihak vendor Telkomsel yang katanya perusahaan besar, seberapa besar kekuatan anda untuk mengatasi keluhan pengguna aplikasi MyTelkomsel dan salah satu mesin pendorong (customer Telkomsel) untuk memaju sebuah perusahaan semakin berkembang pesat.",1,2025-07-01 14:21:46
banyak eror nyaa tolong di perbaiki lagi trus poin nya juga tiba tiba hilang,2,2025-07-01 14:21:42
"lemot, kurang bagus apknya",1,2025-07-01 14:21:11
Kenapa saat login pake alamat WEB? Bukan kode NOMOR PIN yg dikirim ke SMS atau WA? Sedang WEB Telkomsel untuk masuk LELETNYA KAYAK ORANG SEMBELIT AKUT?,1,2025-07-01 14:21:09
"hallo Telkom knp jaringannya ga bagus sedangkan saya pelanggan ttp dalam pembelian kuota, dalam seminggu saja bisa pemakaian 30Gb tapi kok jaringannya jelek banget",1,2025-07-01 14:21:07
"apk gaguna,lemot nya minta ampun padahal ram 12",1,2025-07-01 14:19:46
apasih eror Mulu dri tadi,1,2025-07-01 14:19:45
"makin hari harga nya makin mahal, tapi jumlah kuota internetnya makin dikit, tuh gimana Telkomsel?",1,2025-07-01 14:19:18
ngelg Mulu jir,1,2025-07-01 14:18:33
"parah.....pulsa mahal,apknya sering gangguan",1,2025-07-01 14:17:55
provider terbaik lah pokok nya,5,2025-07-01 14:17:44
aplikasinya semakin updet semakin ngelag,1,2025-07-01 14:17:29
aplikasi nya jelek' lama banget Loding nya padah ram 14,1,2025-07-01 14:17:09
bagus,5,2025-07-01 14:16:29
"JARINGAN TIDAK BAGUS, JANGAN MAU PAKAI TELKOMSEL,,, TINGGAL DI KOTA BERASA tINGGAL DI PELOSOK",1,2025-07-01 14:13:05
telkomsel sinyal bajing,1,2025-07-01 14:13:04
lemot,1,2025-07-01 14:13:03
"kenapa saat saya masuk ke menu ekstra gembira malah eror, tolong perbaiki 🙏",3,2025-07-01 14:11:11
fuellll,5,2025-07-01 14:10:00
paketnya diramahin lahhh,1,2025-07-01 14:09:59
makin mahal jelek pulak pindah gue,1,2025-07-01 14:06:03
Turunin harga paket wkwkw,5,2025-07-01 14:04:33
loading sampe kiamatt!!!,1,2025-07-01 14:04:28
"min tolong diperbaiki aplikasinya, sudah banyak keluhan kok tidak ada tindak lanjut dr telkomsel? saya merasa di rugikan karna tampilan dashboard nya tdk akurat, di tampilan paket data masih 20an gb tiba2 ada notif pulsa terpakai untuk internet, apa apaan ini, inimah bisa di tuntut telkomsel sama customer",1,2025-07-01 14:04:26
"ini apk nice banget sumpah....kalo mau cek sisa kouta itu ngelag banget lemot banget, padahal buat main game jaringan aman2 aja tapi pas buat buka ini apk lemot banget, ini apk masi banyak bugnya, bukan sekali dua kali tapi berkali kali pasti kalo buka ini apk pasti bermasalah.",1,2025-07-01 14:04:05
"Asli sinyal Telkom kaya ppk sekrang, udah beli mahal2 makin kesini makin mahal bukanya tambah bener malah tambah kaya ppk",3,2025-07-01 14:03:54
"apk ga bisa dipakek buat beli data, selalu nge lag",1,2025-07-01 14:02:04
apk anjg mau beli kouta aj gk bisa loading padahal sinyal bagus,1,2025-07-01 14:01:58
good signal,5,2025-07-01 14:01:09
"gamau di buka ,pas di buka eror",1,2025-07-01 14:00:59
SAMPAH,1,2025-07-01 13:59:55
trima kasih atas promo nya telkomsel smoga makin banyak aja promo nya,5,2025-07-01 13:59:42
"kecewa banget, semakin setia, semakin di tindas sama jaringan pihak ini. restart sudah berungkali, masi saja sama.",1,2025-07-01 13:58:15
"jaringan internet sering lelet padahal harga nya mahal""",2,2025-07-01 13:56:11
ngelag parah walaupun sinyal 5G,1,2025-07-01 13:56:01
"jaringan lemot,apalagi kalau hujan,mau cek kuota juga susah setengah modar👎",1,2025-07-01 13:54:05
"Tadinya mau langganan 60gb 86rebu 30hr, tapi pas di cek di apk mytelkomsel... ""LAH KOK GA ADA YG 60GB, MALAH YG ADA 40GB 86rebu"" udah apk nya lemot ehh malah makin mahal juga harganya, apa gara"" konflik isriil iran yak, jadi naik harga paket datanya??? kembalikan 60gb 86rebu 30hr ku.",1,2025-07-01 13:51:03
sangat baik,5,2025-07-01 13:49:33
saya tuntut anda karna dana saya di ambil 2 juta oleh aplikasi anda,1,2025-07-01 13:49:04
baik memuaskan,5,2025-07-01 13:48:51
aplikasi paling jelek,1,2025-07-01 13:48:26
pribadi saya. saya sangat puas menggunakan layanan ini👍 terimakasih my.telkomsel,5,2025-07-01 13:46:03
"aplikasi yang paling parah menurut saya aplikasi lelet loding mulu kalau login HP jadi macet sampai kesabaran saya hilang saya sudah habis satu HP gara"" saya banting gara""aplikasi satu ini yang mau download lebih baik jangan",1,2025-07-01 13:43:16
aplikasinya lemot,2,2025-07-01 13:42:48
aplikasi nya lagi mulu dah aneh,1,2025-07-01 13:42:35
segini aja dlu ya buat bintang nya my telkomsel,4,2025-07-01 13:41:06
makin hari kok makin buruk 👎,1,2025-07-01 13:40:35
apk jelek,1,2025-07-01 13:38:28
apk lelet banget udah di refresh masih muter terus,2,2025-07-01 13:37:50
gampang lag,1,2025-07-01 13:37:32
"apk gaje sinyal bgus pas masuk apk telkomsel lemot nya naudzubilah , terus tiba2 kluar sndri , terlalu sering minta update , perbaiki lah jgn minta update sering tpi masih aja suka error tiba2 .",2,2025-07-01 13:37:05
